"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 12 04:42:17 GMT 2024","Sat Oct 12 04:43:02 GMT 2024","45171","Test 11","","","","","Búsqueda Básica de Canales",""
"passed","Sat Oct 12 04:47:26 GMT 2024","Sat Oct 12 04:48:10 GMT 2024","44196","Test 21","","","","","Test",""
"passed","Sat Oct 12 04:41:25 GMT 2024","Sat Oct 12 04:42:02 GMT 2024","37222","Test 1","","","","","Test",""
"broken","Sat Oct 12 04:41:26 GMT 2024","Sat Oct 12 04:42:07 GMT 2024","41046","Test 5","","","","","Test",""
"passed","Sat Oct 12 04:42:25 GMT 2024","Sat Oct 12 04:43:05 GMT 2024","39961","Test 15","","","","","Búsqueda de Canal Inexistente",""
"passed","Sat Oct 12 04:44:41 GMT 2024","Sat Oct 12 04:45:20 GMT 2024","39500","Test 36","","","","","Abandonar Canal Siendo Miembro",""
"passed","Sat Oct 12 04:45:31 GMT 2024","Sat Oct 12 04:46:02 GMT 2024","30554","Test 27","","","","","Copiar Enlace de Junta Existente",""
"passed","Sat Oct 12 04:42:17 GMT 2024","Sat Oct 12 04:43:10 GMT 2024","53074","Test 14","","","","","Combinación de Filtros",""
"passed","Sat Oct 12 04:43:23 GMT 2024","Sat Oct 12 04:43:55 GMT 2024","31825","Test 6","","","","","Test",""
"passed","Sat Oct 12 04:47:33 GMT 2024","Sat Oct 12 04:48:00 GMT 2024","26129","Test 23","","","","","Test",""
"passed","Sat Oct 12 04:44:05 GMT 2024","Sat Oct 12 04:44:31 GMT 2024","25610","Test 8","","","","","Test",""
"passed","Sat Oct 12 04:44:34 GMT 2024","Sat Oct 12 04:45:03 GMT 2024","28273","Test 10","","","","","Test",""
"passed","Sat Oct 12 04:44:01 GMT 2024","Sat Oct 12 04:44:31 GMT 2024","29740","Test 9","","","","","Test",""
"passed","Sat Oct 12 04:46:52 GMT 2024","Sat Oct 12 04:47:21 GMT 2024","29426","Test 33","","","","","Test",""
"passed","Sat Oct 12 04:47:27 GMT 2024","Sat Oct 12 04:47:58 GMT 2024","31048","Test 22","","","","","Test",""
"passed","Sat Oct 12 04:43:14 GMT 2024","Sat Oct 12 04:44:18 GMT 2024","63975","Test 12","","","","","Filtrar Canales por Propiedad",""
"passed","Sat Oct 12 04:44:51 GMT 2024","Sat Oct 12 04:45:22 GMT 2024","30971","Test 28","","","","","Cambiar Acceso del Canal de Público a Privado",""
"passed","Sat Oct 12 04:44:16 GMT 2024","Sat Oct 12 04:44:42 GMT 2024","25602","Test 7","","","","","Test",""
"passed","Sat Oct 12 04:45:16 GMT 2024","Sat Oct 12 04:45:52 GMT 2024","35948","Test 29","","","","","Cambiar Acceso del Canal de Privado a Público",""
"passed","Sat Oct 12 04:46:58 GMT 2024","Sat Oct 12 04:47:25 GMT 2024","26812","Test 25","","","","","Test",""
"passed","Sat Oct 12 04:46:54 GMT 2024","Sat Oct 12 04:47:21 GMT 2024","26432","Test 24","","","","","Test",""
"passed","Sat Oct 12 04:46:38 GMT 2024","Sat Oct 12 04:47:08 GMT 2024","29563","Test 32","","","","","Test",""
"passed","Sat Oct 12 04:48:06 GMT 2024","Sat Oct 12 04:48:30 GMT 2024","23216","Test 17","","","","","Test",""
"passed","Sat Oct 12 04:45:35 GMT 2024","Sat Oct 12 04:46:06 GMT 2024","31180","Test 30","","","","","Intento de Cambiar Acceso sin Permisos",""
"passed","Sat Oct 12 04:46:08 GMT 2024","Sat Oct 12 04:46:44 GMT 2024","35867","Test 34","","","","","Test",""
"passed","Sat Oct 12 04:44:48 GMT 2024","Sat Oct 12 04:45:39 GMT 2024","51242","Test 31","","","","","Archivar Canal",""
"passed","Sat Oct 12 04:47:34 GMT 2024","Sat Oct 12 04:47:56 GMT 2024","21927","Test 19","","","","","Test",""
"passed","Sat Oct 12 04:43:28 GMT 2024","Sat Oct 12 04:43:52 GMT 2024","23312","Login Test","","","","","Test",""
"passed","Sat Oct 12 04:46:19 GMT 2024","Sat Oct 12 04:46:48 GMT 2024","29444","Test 35","","","","","Test",""
"passed","Sat Oct 12 04:42:08 GMT 2024","Sat Oct 12 04:42:34 GMT 2024","26502","Test 3","","","","","Test",""
"passed","Sat Oct 12 04:42:41 GMT 2024","Sat Oct 12 04:43:17 GMT 2024","36046","Test 16","","","","","Filtrar por Propiedad con Resultados Nulos",""
"passed","Sat Oct 12 04:46:02 GMT 2024","Sat Oct 12 04:46:39 GMT 2024","37153","Test 26","","","","","Iniciar Junta en el Canal",""
"failed","Sat Oct 12 04:41:29 GMT 2024","Sat Oct 12 04:42:04 GMT 2024","35414","Test 2","","","","","Test",""
"passed","Sat Oct 12 04:43:11 GMT 2024","Sat Oct 12 04:44:02 GMT 2024","50292","Test 13","","","","","Filtrar Canales por Tipo",""
"passed","Sat Oct 12 04:48:10 GMT 2024","Sat Oct 12 04:48:36 GMT 2024","25235","Test 18","","","","","Test",""
"passed","Sat Oct 12 04:41:25 GMT 2024","Sat Oct 12 04:41:56 GMT 2024","31190","Test 4","","","","","Test",""
